	UPOS_parent	DEPREL_child	UPOS_child	direction	counts	surface_order_parent/child_forms	arabic_example	example_freq		Final	Nizar-Grammar	in paper		100.00%								
387	PROP#	---	VRB	P-C	2	hwAng+ ... swy	هوانغ+ ... سوي	1		NO WAY	#N/A		و+ في البادمنتون , فاز الكوريان الجنوبيان لي دونغ - سو و+ يو+ يونغ - سونغ على التايلانديين تيسانا بانفيسافاس و+ براموتي+ تيراويواتانا 15- , 11 15-6 في نهائي الزوجي ل+ الرجال , و+ الكوريتان الجنوبيتان را كيونغ - مين و+ لي+ كيونغ - وون على الصينيتين غاو لينغ و+ هوانغ+ سوي 11- , 8 11-7 في نهائي الزوجي ل+ السيدات .									
8	PNX-AB	SBJ	#NOM	P-C	2	" ... +h	" ... +ه	1		NO WAY	#N/A		و+ هو لم يكف عن إعلان دعم +ه ل+ انعقاد المؤتمر و+ عن " تأكيد +ه " انعقاد +ه في موعد قريب .									
31	NOM	MOD	#PRT	P-C	2	AlHASl ... +l	الحاصل ... +ل	1		NO WAY	#N/A		و+ تمنى " أن +لا تكون قد غابت هذه الوزارات , و+ لكن هذا هو الحاصل في بلد +نا و+ الحمد +ل الله " .									
38	#NOM	IDF	NOM	P-C	2	+h ... >ml	+ه ... أمل	1		NO WAY	#N/A		ب+ الطبع س+ أغيب عن كأس العالم و+ أشعر يخيب +ه أمل كبيرة " .									
73	PROP	PRD	NOM	P-C	2	kAnh ... mt>kd	كانه ... متأكد	1		NO WAY	#N/A		و+ يبدو عيد و+ كانه متأكد من أن +ي تسرعت في تأويل العبارة المنسوبة إلى الرئيس الأسد , و+ يقول : " كان الأجدر ب+ قراءة حديدي أن تتريث ل+ التأكد من مصادر الأدلة و+ من صحة المصادر " .									
133	NOM	IDF	PNX-A	P-C	2	EnwAn ... (	عنوان ... (	1		NO WAY	#N/A		ليلة أرق قادت +ني إلى السينمائي الكبير المنسي اليوم في تسعينه ميكيلانجلو انطونيوني ( مواليد فيرارا الإيطالية عام 1912 ) عبر الكتاب الذي كان في انتظار +ي فوق أحد رفوف مكتبة +ي تحت عنوان ( ذ ) و+ في +ه خلاصة آراء هذا المخرج و+ نظريات +ه في السينما .									
204	#NOM	MOD	PROP	P-C	2	+hA ... >mrykA	+ها ... أمريكا	1		NO WAY	#N/A		و+ رأى صدام أن الهجمات الإرهابية , " بداية ل+ هزيمة أمريكية مؤكدة " و+ زاد في أن وجه " نصائح " إلى الدول العربية ب+ أن +لا تتعاون مع الولايات المتحدة في سعي +ها إلى " تحالف دولي مضاد ل+ الإرهاب , و+ قال ل+ وزير الخارجية التونسي الحبيب بن يحيى الخميس الماضي في بغداد " أخشى أن يقع العرب المرتبطون ب +ها ( أمريكا ) ك+ ما وقعت الدول التي كانت مرتبطة ب+ الاتحاد السوفييتي عند +ما وقع " .									
23	VRB	PRD	#NOM	P-C	2	>Tlq ... +hA	أطلق ... +ها	1		NO WAY	OK		و+ خلص باراك الذي بدا على +ه التأثر الشديد إلى القول " تحية أيتها الصديقة " في إشارة إلى " تحية أيها الصديق " الذي كان أطلق +ها الرئيس بيل كلينتون أثناء مراسم تشييع إسحق رابين إلى مثوى +ه الأخير منذ خمس سنوات .									
325	VRB-PASS	PRD	PRT	P-C	2	twDE ... fy	توضع ... في	1		NO WAY	OK		أولا : يمنع التدخين ( و+ الاراكيل ) داخل الغابات , و+ يمنع شواء اللحم في النزهات البرية , كما يمنع رمي أعقاب السجائر من نوافذ السيارات و+ الحافلات , ( إذ أن معظم الحرائق تبدأ في جوانب الطرق ) و+ توضع إشارات , ك+ إشارات المرور , في كل الأراضي اللبنانية تشير إلى ما تقدم , تحت طائلة المسؤولية و+ الملاحقة .									
274	VRB	MOD	PROP#	P-C	2	tlEb ... AlnsmA+	تلعب ... النسما+	1		NO WAY	#N/A		و+ في المباريات الأخرى , تلعب أوكرانيا مع الصين في كييف , و+ روسيا مع إسرائيل في موسكو , و+ إيران مع جورجيا في طهران , و+ إيسلندا مع السويد في لوغارغالسفولور , و+ النسما+ مع المجر في فيينا , و+ فنلندا مع النروج في هلسنكي , و+ جزر فارو مع الدنمارك في تورشافن , و+ بلغاريا مع بلجيكا في صوفيا .									
331	NOM	IDF	PRT#	P-C	2	ElmA ... b+	علما ... ب+	1		NO WAY	#N/A		إلى ذلك أبدى بعض المصادر المصرفية تخوف +ه من دخول فروع المصارف الأجنبية ب+ كثافة في هذا النشاط الذي تغذي أموال +ه الاستدانة المحلية ل+ الحكومة المصرية , إذ س+ تلقي تلك السندات ب+ ضغوط إضافية , إلى جانب ما يمثل +ه الدين العام الخارجي على الحكومة من ضغوط , علما أن +ه ب+ إمكان المصارف المصرية التدخل ل+ التغطية عند الضرورة .									
336	PNX-A	MOD	PRT#	P-C	2	( ... b+	( ... ب+	1		NO WAY	#N/A		( أي ب+ زيادة اثنين ل+ أن العرف يعطي +ها الحق ب+ ستة ) .									
409	VRB-PASS	SBJ	VRB	P-C	2	qyl ... nHtj	قيل ... نحتج	1		NO WAY	#N/A		و+ قيل أيضا : بل نحتج عبر الورقة البيضاء .									
284	NOM	PRD	PRT	C-P	2	ElY ... bAqwn	على ... باقون	1		NO WAY	#N/A		نحن و+ إيا +كم على العهد باقون من أجل لبنان , و+ الكتائب الحرة كتائب الكرامة و+ العنفوان و+ التحرير " .									
317	VRB	SBJ	PRT	C-P	2	>yhA ... tsmHwA	أيها ... تسمحوا	1		OK	#N/A		أضاف : " أيها الحكام العرب , لا تسمحوا ل+ أمريكا ب+ أن تستفرد ب أي دولة من دول +كم ل+ أن +ها س+ تفعل ب+ البقية ذلك أيضا . لا ينخدعن أحد ب+ أن +ه صديق أو حليف ل+ أمريكا ف+ هي س+ تثقل ظهور +كم ب+ المزيد من الشروط و+ المطالب سواء تجاه شعوب +كم أو إسرائيل , و+ س+ تبقى كل حكومات +كم في قلق من أجل أن تفرض على +كم المزيد من التنازلات " .									
392	PRT	SBJ	VRB	C-P	2	nS ... >n	نص ... أن	1		NO WAY	#N/A		أما عن علاقة +هم ب+ الجماعات الإسلامية غير المنتهجة ل+ العنف ف+ إن الإخوان سجلوا ما نص +ه أن حدة التوتر الذي كان يشوب علاقة +هم مع تلك الجماعات قد قلت , و+ أن السياسة المقترحة ل+ التعامل مع هذه الجماعات هي التعامل مع +هم ب+ حب و+ ود , و+ استثمار أنشطة +هم و+ توجيه +هم و+ ترك مساحة مناسبة ل +هم , دون التنازل عن قيادة جماعة الإخوان المسلمين ل+ العمل " . و+ عاد ممثل النيابة ل+ يؤكد أن وقائع القضية أثبتت ب+ القطع أن المتهمين " ينتمون ل+ جماعة الإخوان المسلمين المحظور نشاط +ها , و+ يمارسون نشاط +ها غير المشروع ل+ نشر دعوة +ها في أوساط الجماهير , و+ بين كل فئات المجتمع ب+ هدف السيطرة على مقاليد الأمور في البلاد " .									
29	VRB-PASS	TPC	#NOM	C-P	2	+h ... twjd	+ه ... توجد	1		NO WAY	OK		و+ قال الرنتيسي في تصريح إلى " الحياة " إن +ه " لا توجد اتصالات بين +نا و+ بين السعوديين أو المصريين , و+ أقول ل +ك ك+ أحد قادة حماس إن الأنباء التي تحدثت عن اتصالات ل+ عقد مثل هذا المؤتمر عارية عن الصحة تماما و+ لا أساس ل +ها .									
96	PRT#	TPC	NOM	C-P	2	Al>ydywlwjyA ... l+	الأيديولوجيا ... ل+	1		NO WAY	OK		الاعتداء على الحقيقة و+ الواقع , و+ العنف ضد الوعي ب+ حرف +ه عن هذه الحقيقة و+ ذلك الواقع . و+ ل+ أن عملية السلام ك+ ذلك , كان ل+ أبد من إخراج +ها من الأمم المتحدة , و+ جعل +ها تحت وصاية الولايات المتحدة . و+ إذا ما حاول الفلسطينيون مقاومة هذا العنف ف+ إن تهمة الإرهاب ل +هم ب+ المرصاد . و+ لا ينبغي ل +نا أن نستغرب ذلك , ل+ أن الإرهاب في عصر +نا الحالي تحول إلى أيديولوجيا . و+ الأيديولوجيا هي دائما ل+ التبرير , و+ التضليل .									
315	VRB	PRD	PRT	C-P	2	fy ... kAn	في ... كان	1		OK	OK		و+ نتمنى أن تكون النتائج جيدة , ف+ الفكرة طبقنا +ها هذه السنة ل+ أن +نا اعتبرنا أن +ه من حق كل إنسان و+ كل مواطن و+ في أي سن كان , و+ خصوصا بعد العشرين من العمر , أن يتقدم من البكالوريا , أو من تخطى سبعة عشر عاما أن يتقدم من المتوسطة .									
424	PRT	MOD	VRB-PASS	C-P	2	tsAq ... <lY	تساق ... إلى	1		OK	OK		و+ قال أن ما نسب +ه إلى +ه مواطن +ه الأمين العام ل+ الاتحاد ميشال زن - روفينن من ارتكاب مخالفات و+ إساءة استعمال أموال الاتحاد " يحزنني أكثر من +ما يخيب +ني ( . . . ) إن هذه اتهامات خطيرة تساق إلى +ي , و+ خصوصا بعد سن +ي ال 27 من النشاط في اتحاد خدمت +ه أفضل ما أستطيع " .									
107	VRB#	---	NOM	P-C	1	kwrt+ ... fyl	كورت+ ... فيل	1		NO WAY	#N/A		في 27 تموز س+ تتحف أوت لمبير جمهور بيت الدين ب+ غناء +ها الاستعراضي حيث س+ تؤدي أدوارا غنائية ل+ كورت+ فيل و+ مارلين+ ديتريش و+ اديث+ بياف و+ جاك بريل .									
126	VRB#	MOD	NOM#	P-C	1	tHdv+ ... h+	تحدث+ ... ه+	1		NO WAY	#N/A		و+ استقال جيفسون من منصب +ه بعد +ما اعترفت ديانا خلال برنامج تلفزيوني لم تحدث+ ه+ عن +ه مسبقا , أن +ها خانت زوج +ها مع ضابط في الجيش .									
154	NOM#	---	PNX-AB	P-C	1	zn+ ... -	زن+ ... -	1		NO WAY	#N/A		و+ أعرب هذا الاتحاد في موقع +ه على شبكة الإنترنت عن " احترام +ه البالغ " ل+ زن+ - روفينن و " إعجاب +ه " ب +ه .									
175	VRB#	---	PNX-AB	P-C	1	ybr+ ... "	يبر+ ... "	1		NO WAY	#N/A		أما الافتتاح الكبير ل+ المهرجان ف+ س+ يكون من 3 تموز و+ ل+ غاية 8 من +ه , مع تحفة أندرو للويد و+ يبر+ " كاتس " , هذا الاستعراض الغنائي الراقص الذي توقف قبل أيام بعد +ما استمر على مسارح لندن و+ أميركا و+ المدن العالمية 21 عاما .									
176	VRB#	MOD	PNX-AB	P-C	1	ybr+ ... "	يبر+ ... "	1		NO WAY	#N/A		أما الافتتاح الكبير ل+ المهرجان ف+ س+ يكون من 3 تموز و+ ل+ غاية 8 من +ه , مع تحفة أندرو للويد و+ يبر+ " كاتس " , هذا الاستعراض الغنائي الراقص الذي توقف قبل أيام بعد +ما استمر على مسارح لندن و+ أميركا و+ المدن العالمية 21 عاما .									
186	NOM#	MOD	PNX-B	P-C	1	t$ykyA+ ... ,	تشيكيا+ ... ,	1		NO WAY	#N/A		باريس - و+ تلعب سلوفاكيا مع كرواتيا , و+ تشيكيا+ مع سلوفينيا , و+ البرتغال مع ليتوانيا , و+ البوسنة مع تركيا , و+ يوغوسلافيا مع جمهورية إيرلندا .									
217	NOM#	IDF	PROP	P-C	1	$bybp+ ... AlqbA}l	شبيبة+ ... القبائل	1		NO WAY	#N/A		في ذهاب الدور الثاني من كأس الاتحاد الإفريقي , تعادل نديامبور السنغالي و+ شبيبة+ القبائل الجزائري حامل اللقب سلبا 0-.0									
218	NOM#	MOD	PROP	P-C	1	AlmTArnp+ ... rwlAn	المطارنة+ ... رولان	1		NO WAY	#N/A		و+ شارك أيضا الرئيسان حسين الحسيني و+ رشيد الصلح و+ الوزراء فؤاد السعد و+ مروان حمادة و+ فؤاد السنيورة و+ أسعد+ دياب و+ النواب نبيل البستاني و+ نسيب لحود و+ نعمة الله أبي نصر و+ النائب السابق كميل زيادة و+ الوزراء السابقون فؤاد بطرس و+ ميشال أده و+ عصام نعمان و+ المطارنة+ رولان أبو جودة و+ بولس+ مطر و+ إلياس عودة و+ سفراء و+ ديبلوماسيون و+ المستشار الإعلامي ل+ رئيس الجمهورية رفيق شلالا و+ الشيخ وديع الخازن و+ شخصيات .									
235	PROP#	IDF	PROP	P-C	1	bdrw+ ... AlmwdwfAr	بدرو+ ... المودوفار	1		NO WAY	#N/A		أمست جيرالدين لاحقا بطلة أفلام كارلوس سورا , و+ آخر أدوار +ها فيلم " كنت أتكلم مع +ها " ل+ بدرو+ المودوفار : " يذكر +ني المودوفار ب+ والد +ي ل+ أن +ه يتقن إثارة الضحك و+ البكاء " .									
261	VRB#	MOD	PROP	P-C	1	fAdyA+ ... Emydh	فاديا+ ... عميده	1		NO WAY	#N/A		و+ قد عين كل من فادى سماحة مديرا عاما ل+ وزارة الصناعة , فادى مكي مديرا عاما ل+ وزارة الاقتصاد و+ التجارة , علي فقيه مديرا عاما ل+ إدارة الأبحاث و+ التوجيه في التفتيش المركزي , و+ وليد صافى مراقبا ماليا عاما لدى مجلس الجنوب , و+ فاديا+ بوداغر عميده ل+ كلية طب الأسنان , إيلي عساف رئيسا ل+ مجلس إدارة معهد الإدارة العامة , و+ كل من أنطوان مسرة و+ هاشم الحسيني و+ باسم طرباه و+ عباس الحلبي و+ روبير فاضل أعضاء .									
267	NOM	IDF	PROP#	P-C	1	mrkz ... AbytAn+	مركز ... ابيتان+	1		NO WAY	#N/A		و+ منذ مطلع هذا العام , ضبط على 775 , 56 كيلوغراما من الهيرويين في مركز ك+ ابيتان+ أندرييفو الحدودي .									
410	NOM	MOD	VRB#	P-C	1	brnAmj ... tHdv+	برنامج ... تحدث+	1		NO WAY	#N/A		و+ استقال جيفسون من منصب +ه بعد +ما اعترفت ديانا خلال برنامج تلفزيوني لم تحدث+ ه+ عن +ه مسبقا , أن +ها خانت زوج +ها مع ضابط في الجيش .									
320	VRB#	MOD	PRT	C-P	1	lm ... tHdv+	لم ... تحدث+	1		NO WAY	#N/A		و+ استقال جيفسون من منصب +ه بعد +ما اعترفت ديانا خلال برنامج تلفزيوني لم تحدث+ ه+ عن +ه مسبقا , أن +ها خانت زوج +ها مع ضابط في الجيش .									
414	VRB	MOD	VRB#	P-C	1	Eyn ... fAdyA+	عين ... فاديا+	1		NO WAY	#N/A		و+ قد عين كل من فادى سماحة مديرا عاما ل+ وزارة الصناعة , فادى مكي مديرا عاما ل+ وزارة الاقتصاد و+ التجارة , علي فقيه مديرا عاما ل+ إدارة الأبحاث و+ التوجيه في التفتيش المركزي , و+ وليد صافى مراقبا ماليا عاما لدى مجلس الجنوب , و+ فاديا+ بوداغر عميده ل+ كلية طب الأسنان , إيلي عساف رئيسا ل+ مجلس إدارة معهد الإدارة العامة , و+ كل من أنطوان مسرة و+ هاشم الحسيني و+ باسم طرباه و+ عباس الحلبي و+ روبير فاضل أعضاء .									
343	PROP#	MOD	PRT#	C-P	1	k+ ... AbytAn+	ك+ ... ابيتان+	1		NO WAY	#N/A		و+ منذ مطلع هذا العام , ضبط على 775 , 56 كيلوغراما من الهيرويين في مركز ك+ ابيتان+ أندرييفو الحدودي .									
411	NOM	SBJ	VRB#	C-P	1	dwg+ ... 20	دوغ+ ... 20	1		NO WAY	#N/A		سجل ل+ الفائز كريس ويبر 28 نقطة و+ بريدراغ ستوياكوفيتش 27 نقطة و+ دوغ+ كريستي 20 نقطة , و+ ل+ الخاسر التون براند 24 نقطة و+ مايكل اولووكاندي 21 نقطة .									
415	VRB	SBJ	VRB#	C-P	1	|lyt+ ... xsr	آليت+ ... خسر	1		NO WAY	#N/A		و+ كان الفريقان استعدا ل+ المباراة استعدادا مختلفا عن نظيرات +ها في الأعوام الماضية ف+ الأهلي عائد ل+ تو +ه من نيجيريا بعد لقاء لوبي ستارز في ختام مباريات +ه في دوري أبطال أفريقيا و+ آليت+ خسر +ها 1-3 و+ دخل دورة تدريبية مغلقة .									
0	ROOT	---	#NOM	P-C	1	--- ... +h	--- ... +ه	1		NO WAY	OK											
2	NOM	MOD	#NOM	C-P	1	+y ... xSwSA	+ي ... خصوصا	1		NO WAY	#N/A		و+ قال سولانا إن +ه " يوم مهم ل+ الغاية ب+ النسبة إلى الاتحاد الأوروبي و+ ل +ي خصوصا .									
9	PNX-B	MOD	#NOM	C-P	1	+hA ... ,	+ها ... ,	1		NO WAY	#N/A		و+ أضاف أن " الخطة الأمريكية تتضمن احتلال مدن حيرات و+ قندهار و+ كابول و+ زرارانج+ و+ مزار الشريف و+ جلال أباد و+ مزار الشريف , و+ غير +ها من المدن الرئيسية في البلاد " . و+ أكد أن " إيران س+ تدعم هذه الحملة , أو على الأقل لن تعارض +ها , ل+ أن +ها تكن عداء سافرا ل+ طالبان , و+ لا توافق على استمرار حكم +ها , مشيرا إلى أن " إقفال الحدود المحيطة ب+ أفغانستان و+ التزام باكستان وقف وصول الدعم إلى طالبان س+ يؤدي إلى محاصرة فلول قوات +ها و+ انتهاء دور +ها في فترة قصيرة " .									
27	VRB-PASS	OBJ	#NOM	P-C	1	mnHt ... +h	منحت ... +ه	1		OK	OK		من هذا المنظار , يبدو كلام الاستهلاك اللبناني مجديا , و+ النتائج المتأتية من +ه تستحق فعلا العناء الذي يتطلب +ه من الوزير الشرع و+ غير +ه من المسؤولين السوريين و+ اللبنانيين , و+ خصوصا أن +ه لا يقنع فقط من انطبقت على +هم صفة الأبواق , بل أن +ه ينفذ أيضا إلى بعض مناوئي الهيمنة السورية حين يستنتجون من الالتزام السوري ب+ الخط الأميركي أن دمشق حصلت على تمديد ل+ التفويض الذي منحت إيا +ه على لبنان إبان أزمة الخليج .									
35	VRB	MOD	#PRT	P-C	1	yfttH ... +mA	يفتتح ... +ما	1		NO WAY	#N/A		و+ كاد عزيزي يفتتح التسجيل عند +ما هيأ الكرة ل+ نفس +ه و+ سدد +ها قوية من خارج المنطقة إلى القائم الأيسر مباشرة ( 7 ) , قبل أن يرد التايلانديون ب+ هدف خلافا ل+ المجريات من هجمة مرتدة عند +ما راوغ الجناح الأيسر السريع سوتي سوكسومكيت مدافعا إيرانيا , و+ لعب الكرة عرضية داخل المنطقة ف+ تخطت الحارس برويز بوروموند و+ تهيأت أمام ساكيسان بيتوراتانا الذي تابع +ها داخل المرمى الخالي .									
36	VRB	SBJ	#PRT	P-C	1	ql ... +mA	قل ... +ما	1		NO WAY	#N/A		و+ يلفت +ني كثيرون إلى أن +ي قل +ما كتبت قطعة إلا ذكرت والد +ي , أو ذكرت ب +ه , مستشهدا ب+ أبيات ل +ه أو آراء أو مواقف , مبديا إعجابا .									
41	#PRT	MOD	NOM	C-P	1	End ... +mA	عند ... +ما	1		OK	#N/A		و+ كاد عزيزي يفتتح التسجيل عند +ما هيأ الكرة ل+ نفس +ه و+ سدد +ها قوية من خارج المنطقة إلى القائم الأيسر مباشرة ( 7 ) , قبل أن يرد التايلانديون ب+ هدف خلافا ل+ المجريات من هجمة مرتدة عند +ما راوغ الجناح الأيسر السريع سوتي سوكسومكيت مدافعا إيرانيا , و+ لعب الكرة عرضية داخل المنطقة ف+ تخطت الحارس برويز بوروموند و+ تهيأت أمام ساكيسان بيتوراتانا الذي تابع +ها داخل المرمى الخالي .									
43	#PRT	SBJ	NOM	C-P	1	AlHmd ... +l	الحمد ... +ل	1		NO WAY	#N/A		و+ تمنى " أن +لا تكون قد غابت هذه الوزارات , و+ لكن هذا هو الحاصل في بلد +نا و+ الحمد +ل الله " .									
59	PNX-AB	MOD	NOM	C-P	1	Hyn ... "	حين ... "	1		NO WAY	#N/A		حين تلهو غريتا نوفل " تخرطش " شيئا قابلا ل+ الحياة و+ الاستمرار .									
63	PNX-B	---	NOM	P-C	1	, ... tnbAk	, ... تنباك	1		NO WAY	#N/A		ف+ من " غاليري جانين ربيز " حيث يعرض جوزف شحفه ( إلى 31 أيار ) إلى " سترانج فروت " في مبنى ستاركو حيث أعمال سارة بدر من نوع التجهيز و+ التشكيل ( إلى 16 أيار ) إلى " اسباس إس . دي " حيث أعمال الفنانين و+ الفنانات : رفيق مجذوب , غوفدير , حسين ماضي , غريتا نوفل , منيرة الصلح , ريتا عون , تنباك و+ جان و+ مارك نحاس .									
67	PNX-B	TPC	NOM	C-P	1	Als&Al ... :	السؤال ... :	1		NO WAY	#N/A		و+ السؤال الآن هو : ماذا بعد قبول العراق ب+ القرار 1441 ?									
102	VRB	PRD	NOM	C-P	1	mmvlAn ... ydAfEAn	ممثلان ... يدافعان	1		OK	OK		و+ قال كلينتون من جهة +ه " س+ نترك العملية تأخذ مجرى +ها . الطرفان ( الجمهوري و+ الديموقراطي ) ممثلان ب+ شكل جيد و+ س+ يدافعان عن وجهة نظر +هما و+ س+ ننتظر ل+ نرى ما س+ يحصل " مشيرا إلى أن الأميركيين " هادئون نسبيا " حيال الوضع .									
112	VRB-PASS	PRD	NOM	P-C	1	ywjh ... mHdwd	يوجه ... محدود	1		NO WAY	OK		و+ في حال عدم الامتثال يوجه إنذار من مجلس الأمن إلى العراق محدود ب+ مدة قصيرة ل+ الامتثال , و+ في حال عدم +ه تكون كل الوسائل متاحة ل+ فرض تنفيذ قرارات مجلس الأمن .									
118	NOM	TPC	NOM#	C-P	1	h+ ... hnAk	ه+ ... هناك	1		NO WAY	#N/A		و+ عن طبيعة الضغوط التي تتعرض ل +ها حركة " حماس " ل+ وقف العمليات , خصوصا داخل الخط الأخضر , قال الرنتيسي إن+ ه+ ب+ الإضافة إلى هذه الضغوطات " هناك أيضا محاولات ل+ الاغتيال و+ التصفيات , و+ نحن نقول إن +ه لو أبدنا عن بكرة أب +نا لن نخضع ل+ هذه الضغوط و+ لن نقبل التخلي عن حق +نا في مقاومة الاحتلال و+ هذا أشد من القتل " . و+ نفى أن تكون هناك اتصالات " خلف الكواليس " . و+ قال إن " حماس " تعمل " تحت الضوء و+ لا تعمل خلف الكواليس , و+ أن العمل خلف الكواليس ضد المقاومة لم يتوقف منذ 1948 , و+ س+ تفشل جميع المخططات ب+ هذا الخصوص ك+ ما فشلت سابقات +ها " .									
121	PRT	SBJ	NOM#	C-P	1	h+ ... ElY	ه+ ... على	1		NO WAY	#N/A		و+ نقلت المصادر عن بن لادن إن+ ه+ على استعداد ل+ القتال مع أفراد +ه أكثر من عشرين عاما " على رغم كل المصاعب و+ الحصار " الذي تفرض +ه على +ه حكومة " طالبان " الحاكمة في كابول .									
128	VRB-PASS	SBJ	NOM#	C-P	1	hA+ ... tmArs	ها+ ... تمارس	1		NO WAY	#N/A		سجل النائب الدمشقي محمد مأمون الحمصي يوم 7 / 8 الحالي سابقة في العمل السياسي و+ البرلماني في سورية , عند +ما أعلن إضرابا عن الطعام ل+ مدة أسبوع ب+ هدف " مقاومة حملة الضغوط و+ التشهير " التي يقول إن+ ها+ تمارس على +ه .									
129	VRB-PASS	TPC	NOM#	C-P	1	h+ ... ySAb	ه+ ... يصاب	1		NO WAY	#N/A		و+ أشار المصرفي , الذي فضل عدم ذكر اسم +ه , إلى عمليات سحب ودائع " جرت في ذروة الاشتباكات بين مقاتلي حزب الله و+ القوات الإسرائيلية في محيط مزارع شبعا و+ عند ظهور الخلاف بين أركان الحكم . و+ قال : " إن مجمل خسارة لبنان من الأزمة بين الفلسطينيين و+ الإسرائيليين و+ التحسب من امتداد المعارك إلى الجبهة الجنوبية قد يصل إلى نصف بليون دولار , إذا تم احتساب تراجع التحويلات من المغتربين على الداخل و+ توقف بعض الاستثمارات الأجنبية التي كان يمكن أن تتدفق على لبنان في ظل استقرار الموقفين الداخلي و+ الخارجي " . و+ شدد المصرفي اللبناني على " إن+ ه+ إذا بقي الوضع متأزما في الشرق الأوسط قد يصاب القطاع السياحي اللبناني خصوصا موسم الاصطياف الذي عادة ما يجتذب اللبنانيين أولا مجموعة كبيرة من المصطافين العرب التي حجزت مبدئيا ل+ تمضية جزء من فصل الصيف في لبنان " . و+ كان القطاع الفندقي اللبناني و+ المرافق السياحية و+ بعض المنشآت المساندة تعول على الاستفادة من " السياحة العربية " و+ امتناع مجموعة كبيرة عن السفر على أوروبا و+ الولايات المتحدة في ظل العداء ل+ العرب بعد أحداث سبتمبر . لكن المصرفي استدرك " إذا تراجعت حدة الأزمة بين الإسرائيليين و+ الفلسطينيين قد يستفيد لبنان من مقاطعة المستثمرين و+ المصطافين العرب ل+ بلدان تؤيد إسرائيل أو حتى تتعاطف مع +ها " . و+ يتجاوز الدين اللبناني العام , الذي يقارب 28 بليون دولار , نسبة 165 % من إجمالي الناتج المحلي ما يمثل ضغوطا على الليرة اللبنانية و+ يدفع مصرف لبنان إلى التدخل , ل+ يصبح البائع الوحيد ل+ الدولار في السوق خلال معظم العامين الماضيين من أجل الحفاظ على استقرار سعر الصرف .									
130	NOM	MOD	PNX	P-C	1	08 ... r	08 ... ر	1		OK	#N/A		مونتريال 15-8 ( أ ف ب ) - بلغت الروسية آنا كورنيكوفا المرحلة الثانية من دورة مونتريال الكندية الدولية ل+ كرة المضرب البالغة جوائز +ها 08 ر 1 مليون دولار ب+ فوز +ها على كارا بلاك من زيمبابوي 6-3 و 7-6 ( 7-4 ) .									
131	PROP	MOD	PNX	C-P	1	r ... r	ر ... ر	1		NO WAY	#N/A		بكين 15-10 ( أ ف ب ) - أحرز العداء الكيني نديريفا نلسون المركز الأول في ماراتون بكين الدولي اليوم الأحد قاطعا مسافة 195 ر 42 كلم ب+ زمن 52 ر 13 ر 2 ساعة .									
132	ROOT	---	PNX-A	P-C	1	--- ... (	--- ... (	1		OK	OK											
136	PNX-A	MOD	PNX-A	P-C	1	( ... (	( ... (	1		NO WAY	#N/A		و+ تقول الأسبوعية في عدد +ها الصادر غدا الاثنين أن بعض الدول ضاعفت تقريبا من عائدات +ها النفطية في الأشهر التسعة الأولى من العام الجاري مقارنة ب+ الفترة نفس +ها من 1999 . و+ تشير إلى الكويت ( +++ 97 % ) و+ ليبيا ( +++ 91 % ) و+ الجزائر ( +++ ) ( % ) ك+ أمثلة عن هذه الدول .									
153	NOM	SBJ	PNX-AB	P-C	1	lyst ... "	ليست ... "	1		NO WAY	#N/A		أ ليست " ب+ أسواء من +ها " أسوأ من +ها ( أي من سابقة +ها ? ) .									
158	PNX-B	MOD	PNX-AB	P-C	1	, ... "	, ... "	1		NO WAY	#N/A		پرتcل , سغنeد ن ضمسcس بي تهe تو پرeمeرس ن 1987 , " سد تهe فرست غرeeمeنت . و+ تابعت المصادر الرسمية السورية أن الاتفاق الثاني نص على " التعاون ل+ إعادة المهاجرين ب+ صورة غير مشروعة , انطلاقا من تصميم الجانبين على تطوير التعاون بين +هما في حفظ الأمن على حدود +هما المشتركة , و+ منع الانتقال غير المشروع ل+ الأشخاص بين البلدين " .									
173	VRB	OBJ	PNX-AB	P-C	1	qAl ... "	قال ... "	1		NO WAY	#N/A		و+ سألت +ه هل يتوقع تغييرا في المستقبل المنظور ف+ قال : " لا , و+ شارون باق على موقف +ه , و+ الأمريكيون يسوقون رؤية +ه بعد تخفيف +ها جزئيا " .									
174	VRB	SBJ	PNX-AB	P-C	1	tnZm ... "	تنظم ... "	1		NO WAY	#N/A		" في وزير بدو يطير " هذه هي العبارة التي تداولت +ها ألسن الحاضرين في اليوم السادس ل+ المهرجان الثالث ل+ السيارات الورقية , الذي تنظم +ه " " ب+ التعاون مع وزارة الثقافة في إطار نشاطات القمة الفرنكوفونية .									
177	VRB-PASS	---	PNX-AB	P-C	1	nwAzY ... -	نوازى ... -	1		NO WAY	#N/A		باريس 15-10 ( إف ب ) - أعلن مصدر في الشرطة اليوم الأحد أن ثلاثة شبان اعتقلوا أمس السبت بعد الهجوم على كنيس في نوازى - لو - سك في الضاحية الباريسية , اعترفوا ب+ جرم +هم .									
182	NOM	---	PNX-B	P-C	1	mSdq ... ,	مصدق ... ,	1		NO WAY	#N/A		و+ علت هتافات : " استفتاء دستوري " و " أفرجوا عن السجناء السياسيين " و " مصدق , بازركان في حداد " , في إشارة إلى رئيسي الوزراء الراحلين الدكتور محمد مصدق و+ مهدي بازركان .									
